team,player,durationOn,durationOff,absPlusMinusOn,absPlusMinusOff,perPlusMinusOn,perPlusMinusOff,relAbsPlusMinus,relPerPlusMinus
Vixens,T.Philip,301.43333333333334,121.11666666666666,45,20,2.2393011168859895,2.4769505985963947,25,-0.23764948171040512
Thunderbirds,H.Petty,136.5,165.0,-10,-9,-1.098901098901099,-0.8181818181818182,-1,-0.28071928071928076
Thunderbirds,L.Guscoth,218.28333333333333,83.1,-12,-3,-0.8246163243490876,-0.5415162454873645,-9,-0.28310007886172306
Fever,K.Stanton,97.71666666666667,324.31666666666666,-2,1,-0.3070100631076241,0.04625109203967316,-3,-0.3532611551472972
Swifts,M.Turner,45.333333333333336,75.51666666666667,-1,1,-0.3308823529411765,0.1986316486426837,-2,-0.5295140015838602
Fever,C.Bruce,244.23333333333332,56.55,4,3,0.24566671216050223,0.7957559681697612,1,-0.550089256009259
Swifts,H.Housby,343.15,80.03333333333333,19,8,0.8305405799213175,1.499375260308205,11,-0.6688346803868874
Magpies,M.Garrett,116.91666666666667,304.78333333333336,-14,-22,-1.796151104775481,-1.0827363700989774,8,-0.7134147346765036
Fever,S.Aryang,238.88333333333333,183.21666666666667,-6,5,-0.3767529477429707,0.40935140543982534,-11,-0.786104353182796
Magpies,M.Browne,322.95,98.76666666666667,-32,-4,-1.4862981885740827,-0.6074924063449206,-28,-0.8788057822291621
Swifts,L.Moore,307.1,115.9,14,13,0.6838163464669487,1.6824849007765317,1,-0.998668554309583
Fever,S.Francis,308.75,113.41666666666667,-7,6,-0.340080971659919,0.7935341660543718,-13,-1.133615137714291
Lightning,A.Lee-Jones,28.1,152.83333333333334,-3,-4,-1.601423487544484,-0.3925845147219193,1,-1.2088389728225646
Lightning,P.Proscovia,90.18333333333334,271.65,-3,15,-0.4989835520236555,0.8282716731087798,-18,-1.3272552251324354
GIANTS,M.Hay,213.43333333333334,147.95,-17,2,-1.194752459784476,0.20277120648867863,-19,-1.3975236662731547
Thunderbirds,S.Gooden,52.266666666666666,128.51666666666668,-9,-10,-2.582908163265306,-1.1671637919854754,1,-1.4157443712798305
Magpies,K.Altmann,70.15,230.85,-12,-12,-2.565930149679259,-0.7797270955165692,0,-1.7862030541626899
Thunderbirds,S.Glasgow,98.98333333333333,202.25,-14,-1,-2.1215692877588817,-0.07416563658838071,-13,-2.0474036511705007
Magpies,G.Sinclair,362.8333333333333,58.81666666666667,-38,2,-1.570969223702343,0.5100595069424767,-40,-2.0810287306448196
GIANTS,J.Harten,405.68333333333334,15.866666666666667,-10,2,-0.3697465182202868,1.8907563025210083,-12,-2.260502820741295
Vixens,L.Watson,390.6,31.833333333333332,55,10,2.1121351766513055,4.712041884816753,45,-2.599906708165448
Firebirds,R.Ellis,68.03333333333333,113.43333333333334,-21,-14,-4.630083292503675,-1.851307669703203,-7,-2.7787756228004716
Magpies,K.Browne,317.4166666666667,104.15,-42,6,-1.9847729062746127,0.8641382621219393,-48,-2.848911168396552
Lightning,L.Scherian,402.21666666666664,20.166666666666668,14,5,0.5221066589317532,3.7190082644628095,9,-3.1969016055310564
Vixens,T.Honey,62.3,59.483333333333334,4,17,0.9630818619582665,4.2869151022695435,-13,-3.323833240311277
Fever,S.Eagland,36.68333333333333,203.66666666666666,-11,-15,-4.497955474784188,-1.104746317512275,4,-3.3932091572719134
GIANTS,A.Brandley,48.36666666666667,192.96666666666667,-12,-3,-3.7215713301171607,-0.23320089825531184,-9,-3.4883704318618487
Vixens,J.Newton,32.833333333333336,209.65,-1,45,-0.4568527918781727,3.219651800620081,-46,-3.676504592498254
Swifts,N.Haythornthwaite,249.16666666666666,173.85,-10,37,-0.6020066889632106,3.1924072476272647,-47,-3.7944139365904754
Lightning,B.Hunt,21.716666666666665,99.15,-4,9,-2.7628549501151185,1.3615733736762479,-13,-4.124428323791366
Thunderbirds,C.Pitman,389.0833333333333,32.61666666666667,-26,7,-1.0023559648747056,3.2192130812468065,-33,-4.2215690461215125
Firebirds,M.Gardner,120.48333333333333,241.51666666666668,-37,-6,-4.606446258126988,-0.37264509005589674,-31,-4.233801168071092
Swifts,T.Fraser,74.15,287.78333333333336,-12,37,-2.4275118004045853,1.928534198181502,-49,-4.3560459985860875
Fever,E.Cosh,37.11666666666667,203.61666666666667,-11,4,-4.445442299057027,0.29467135958091184,-15,-4.740113658637939
GIANTS,M.McDonell,25.716666666666665,155.6,-8,8,-4.6662346079066745,0.7712082262210795,-16,-5.437442834127754
Vixens,K.Dehaney,55.78333333333333,186.7,-6,50,-1.6133851210038839,4.017139796464917,-56,-5.630524917468801
Lightning,A.Unie,15.683333333333334,104.4,-7,-4,-6.695005313496281,-0.5747126436781609,-3,-6.12029266981812
Firebirds,I.Venter,56.8,305.3666666666667,-32,-14,-8.450704225352114,-0.6876978495797403,-18,-7.763006375772374
Firebirds,M.Stower,18.966666666666665,102.75,-26,-20,-20.562390158172235,-2.9197080291970803,-6,-17.642682128975153
